Number,ISLAND,FID,timeYrs,Delta,Censorship,Area_ha_Cov1,Area_Cov1_LogTrans,Latitude_Cov2,Erad_Numb_Cov3,EradNumb_Cov2_logx+1
332,David Rocks - A,6533,117,0,Right Censored,0.361010656,-0.442479978,-36.698274,1,0.301029996
333,David Rocks - B,6523,117,0,Right Censored,0.179250789,-0.746538923,-36.7012,1,0.301029996
334,David Rocks - C,6530,117,0,Right Censored,0.187836472,-0.726220078,-36.699073,1,0.301029996
335,Duffer's Reef,5335,117,0,Right Censored,0.69259868,-0.159518341,-40.9546,1,0.301029996
336,East Atoll,8011,117,0,Right Censored,0.723526729,-0.14054542,-35.202142,2,0.477121255
337,Ernest,1507,117,0,Right Censored,94.7919779,1.976771585,-46.958764,1,0.301029996
338,Flat Top Rock,8019,117,0,Right Censored,1.141604654,0.057515731,-35.201111,2,0.477121255
339,Fortyseven,7831,117,0,Right Censored,0.616158793,-0.210307349,-35.241948,2,0.477121255
340,Grey Group,7040,117,0,Right Censored,2.062236352,0.314338438,-36.184111,1,0.301029996
341,Hat,7888,117,0,Right Censored,0.108219497,-0.96569449,-35.217178,2,0.477121255
342,King Billy,4715,117,0,Right Censored,0.754410225,-0.122392434,-43.635089,3,0.602059991
343,Koi,6333,117,0,Right Censored,0.343179044,-0.464479239,-36.826699,2,0.477121255
344,Kuiamokimoki,7847,117,0,Right Censored,0.665014573,-0.177168837,-35.23043,2,0.477121255
345,Little Mahuki,6969,117,0,Right Censored,2.015980799,0.304486391,-36.22875,1,0.301029996
346,Little Rat,7992,117,0,Right Censored,0.681125529,-0.166772842,-35.20453,2,0.477121255
347,Long (Weka),2667,117,0,Right Censored,107.1625465,2.030043025,-46.0949,2,0.477121255
348,Mahenotiti,7855,117,0,Right Censored,1.036734903,0.01566772,-35.2275,2,0.477121255
349,Mauhaka Rocks,6088,117,0,Right Censored,1.052464919,0.022207629,-37.218323,1,0.301029996
350,Motiti,7696,117,0,Right Censored,0.368562903,-0.43348838,-35.353211,1,0.301029996
351,Motukaha,6362,117,0,Right Censored,0.731938727,-0.135525273,-36.795075,1,0.301029996
352,Motukaraka,7685,117,0,Right Censored,1.752128946,0.243566065,-35.38783,1,0.301029996
353,Motungara (Motungarara),5456,117,0,Right Censored,2.017777228,0.304873216,-40.886579,2,0.477121255
354,Motungarara (Cliff Rock),7998,117,0,Right Censored,1.328759494,0.123446381,-35.202991,1,0.301029996
355,Motuoi,7886,117,0,Right Censored,2.834925768,0.452541691,-35.218956,2,0.477121255
356,Moturako,7054,117,0,Right Censored,0.857846678,-0.066590326,-36.179716,1,0.301029996
357,Motutara,7915,117,0,Right Censored,0.420735123,-0.375991232,-35.2143,1,0.301029996
358,Motuterakihi,8060,117,0,Right Censored,0.506173365,-0.295700711,-35.1851,1,0.301029996
359,Mouse,8006,117,0,Right Censored,1.252923529,0.097924565,-35.203169,2,0.477121255
360,NE Crater Rim,7999,117,0,Right Censored,0.674219735,-0.171198539,-35.203333,2,0.477121255
361,Ngatokaparangi 1,7871,117,0,Right Censored,0.581264966,-0.235625852,-35.222472,1,0.301029996
362,Ngatokaparangi 2,7870,117,0,Right Censored,0.240444865,-0.618984493,-35.222483,1,0.301029996
363,Ngatokaparangi 3,7869,117,0,Right Censored,0.448413116,-0.348321692,-35.223503,1,0.301029996
364,Ngawhiti,5552,117,0,Right Censored,1.656323916,0.219145273,-40.804528,1,0.301029996
365,NW Crater Rim,8008,117,0,Right Censored,0.574655212,-0.24059265,-35.202778,2,0.477121255
366,Opakau,7006,117,0,Right Censored,3.070406501,0.487195877,-36.20198,1,0.301029996
367,Outer Little Rat,8026,117,0,Right Censored,0.50873501,-0.293508374,-35.200178,2,0.477121255
368,Outer Stuck Anchor Rock,7926,117,0,Right Censored,0.271181078,-0.566740618,-35.211767,2,0.477121255
369,Oyster Island,477,117,0,Right Censored,0.336485438,-0.473033725,-36.142264,1,0.301029996
370,Pakatahi,7845,117,0,Right Censored,0.792405797,-0.101052356,-35.231111,2,0.477121255
371,Papakohatu (Crusoe),6328,117,0,Right Censored,2.075482204,0.317119014,-36.8125,1,0.301029996
372,Papakuri,6980,117,0,Right Censored,0.435332504,-0.361178906,-36.220414,1,0.301029996
373,Phillip,7499,117,0,Right Censored,0.850864917,-0.070139383,-35.615927,3,0.602059991
374,Phil's Hat,7951,117,0,Right Censored,0.798138862,-0.097921542,-35.206863,2,0.477121255
375,Pig,5057,117,0,Right Censored,7.279471363,0.862099842,-41.311064,1,0.301029996
376,Rabbit,7427,117,0,Right Censored,0.988031531,-0.005229195,-35.789026,1,0.301029996
377,Rangiatea,7889,117,0,Right Censored,1.823885867,0.260997658,-35.218031,2,0.477121255
378,Rat,8005,117,0,Right Censored,1.180087189,0.071914096,-35.203169,2,0.477121255
379,Rotoroa Stacks,377,117,0,Right Censored,0.191977028,-0.716750735,-36.822117,1,0.301029996
380,Round,7854,117,0,Right Censored,2.21342768,0.345065337,-35.227991,2,0.477121255
381,SE Crater Rim,7964,117,0,Right Censored,1.903936824,0.279652534,-35.205,2,0.477121255
382,Stuck Anchor Rock,7933,117,0,Right Censored,0.233198569,-0.632274119,-35.210158,2,0.477121255
383,SW Crater Rim,552,117,0,Right Censored,0.139478923,-0.855491414,-35.205678,2,0.477121255
384,Taieri,3093,117,0,Right Censored,5.072209308,0.705197167,-46.057625,1,0.301029996
